F1,F2,D,dropout,learning_rate,batch_size,weight_decay,f1_score,precision,recall,val_loss
16,32,8,0.2659674581437484,0.0001849152936349048,32,0.0012540730075501416,0.9689711117426952,0.9675522828641756,0.9705311835786649,0.06614672880791857
16,32,8,0.2706114439973995,0.00016421705650016566,32,0.0011995132205481916,0.9714217443866251,0.9720923265946135,0.9708104592572443,0.06575753267996175
16,32,8,0.259397979151647,0.0001588026169855008,32,0.0014319074405950724,0.9685424859463718,0.9674773529901786,0.9698294321924387,0.06509470320990025
16,32,8,0.2784970033182508,0.00014171117747229604,32,0.001174851365107639,0.9628222456440403,0.9551159094718527,0.9712329349648909,0.06520158693171613
16,32,8,0.20001883191133177,0.0001692449040259305,32,0.002721150637805172,0.9733158063386526,0.9742371732953327,0.9725003620878314,0.0639426528157302
16,32,8,0.19360223092515666,9.373104390151068e-05,32,0.0042911072202606,0.9643881227100843,0.9655608075304082,0.9633803620635385,0.06867429052426419
16,32,8,0.20699566937880448,0.00017553380838274932,32,0.002423743156914283,0.964002155515811,0.9585364117373468,0.9699690700317283,0.06602176106531735
16,32,8,0.2488095390630334,0.00010661139930406617,32,0.008796719362130395,0.9712418909770012,0.9729760356354163,0.9698329943822165,0.0719316521964451
16,32,8,0.24670966909881226,7.281938699395265e-05,32,0.00873200841375529,0.9709922482280325,0.9771321951044643,0.9652099027334154,0.07113023227176872
16,32,8,0.17110825542979247,6.896687517429105e-05,32,0.00840919212412602,0.9676662128072785,0.9713464011250114,0.9642253134788321,0.07045269807112282
16,32,8,0.24930477510994953,5.659736656823643e-05,32,0.006009221420235837,0.9620197050264152,0.9567240613901573,0.967860253683272,0.06942323150882579
32,32,8,0.2338018295457339,0.00011395404219832441,128,0.00907975308365307,0.9684641547298704,0.9674841566671861,0.969689794353149,0.06960954967265327
16,32,8,0.2873743310898396,8.284646362280421e-05,32,0.0030080766043060303,0.9718282267249952,0.9730078783385623,0.9708140214470219,0.06645667736238861
16,32,8,0.29880401697065045,7.0007147387756e-05,32,0.0028820885648283947,0.9645025514302571,0.9587802966250969,0.9706708214179544,0.06853973193463626
16,32,8,0.2862649905693901,0.00010381868830682552,32,0.005459025599501411,0.9667142874391952,0.9631714103265828,0.9705311835786649,0.0665340984908297
16,32,8,0.220949457254649,0.000216780177113754,32,0.007355314087120881,0.9597646761749995,0.9526586223710359,0.9677206158439824,0.07336319271227061
16,32,8,0.24951767904036687,0.00013744859994135615,256,0.0040907835898518485,0.9715167470982385,0.9680555481364875,0.9752939130667557,0.06474438992639382
16,32,8,0.24985704462513456,8.698596690645769e-05,256,0.0042393755163692365,0.9639027399336731,0.9648132126256078,0.9630975241951814,0.0674734568844239
